city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,15
sj,2008,20,22
sj,2008,21,17
sj,2008,22,6
sj,2008,23,17
sj,2008,24,11
sj,2008,25,27
sj,2008,26,8
sj,2008,27,17
sj,2008,28,16
sj,2008,29,11
sj,2008,30,18
sj,2008,31,8
sj,2008,32,14
sj,2008,33,18
sj,2008,34,11
sj,2008,35,22
sj,2008,36,28
sj,2008,37,24
sj,2008,38,46
sj,2008,39,64
sj,2008,40,27
sj,2008,41,18
sj,2008,42,74
sj,2008,43,58
sj,2008,44,19
sj,2008,45,29
sj,2008,46,27
sj,2008,47,28
sj,2008,48,14
sj,2008,49,23
sj,2008,50,8
sj,2008,51,10
sj,2008,52,11
sj,2009,1,7
sj,2009,2,8
sj,2009,3,20
sj,2009,4,15
sj,2009,5,16
sj,2009,6,19
sj,2009,7,9
sj,2009,8,18
sj,2009,9,16
sj,2009,10,10
sj,2009,11,17
sj,2009,12,21
sj,2009,13,6
sj,2009,14,6
sj,2009,15,10
sj,2009,16,7
sj,2009,17,6
sj,2009,18,16
sj,2009,19,9
sj,2009,20,11
sj,2009,21,11
sj,2009,22,19
sj,2009,23,15
sj,2009,24,7
sj,2009,25,7
sj,2009,26,13
sj,2009,27,6
sj,2009,28,6
sj,2009,29,29
sj,2009,30,13
sj,2009,31,54
sj,2009,32,8
sj,2009,33,9
sj,2009,34,26
sj,2009,35,68
sj,2009,36,7
sj,2009,37,6
sj,2009,38,115
sj,2009,39,17
sj,2009,40,41
sj,2009,41,64
sj,2009,42,33
sj,2009,43,6
sj,2009,44,28
sj,2009,45,11
sj,2009,46,17
sj,2009,47,14
sj,2009,48,40
sj,2009,49,11
sj,2009,50,10
sj,2009,51,17
sj,2009,52,9
sj,2010,53,19
sj,2010,1,16
sj,2010,2,6
sj,2010,3,32
sj,2010,4,20
sj,2010,5,34
sj,2010,6,13
sj,2010,7,21
sj,2010,8,21
sj,2010,9,9
sj,2010,10,6
sj,2010,11,10
sj,2010,12,9
sj,2010,13,16
sj,2010,14,7
sj,2010,15,18
sj,2010,16,33
sj,2010,17,6
sj,2010,18,17
sj,2010,19,8
sj,2010,20,35
sj,2010,21,10
sj,2010,22,31
sj,2010,23,12
sj,2010,24,32
sj,2010,25,15
sj,2010,26,32
sj,2010,27,21
sj,2010,28,8
sj,2010,29,25
sj,2010,30,15
sj,2010,31,12
sj,2010,32,18
sj,2010,33,10
sj,2010,34,12
sj,2010,35,47
sj,2010,36,25
sj,2010,37,33
sj,2010,38,23
sj,2010,39,17
sj,2010,40,25
sj,2010,41,40
sj,2010,42,35
sj,2010,43,24
sj,2010,44,6
sj,2010,45,16
sj,2010,46,18
sj,2010,47,15
sj,2010,48,28
sj,2010,49,20
sj,2010,50,6
sj,2010,51,11
sj,2011,52,8
sj,2011,1,37
sj,2011,2,28
sj,2011,3,28
sj,2011,4,6
sj,2011,5,34
sj,2011,6,22
