city,year,weekofyear,total_cases
sj,2008,18,14
sj,2008,19,14
sj,2008,20,39
sj,2008,21,14
sj,2008,22,148
sj,2008,23,17
sj,2008,24,14
sj,2008,25,18
sj,2008,26,14
sj,2008,27,14
sj,2008,28,16
sj,2008,29,18
sj,2008,30,14
sj,2008,31,14
sj,2008,32,17
sj,2008,33,17
sj,2008,34,14
sj,2008,35,14
sj,2008,36,31
sj,2008,37,14
sj,2008,38,21
sj,2008,39,17
sj,2008,40,24
sj,2008,41,15
sj,2008,42,14
sj,2008,43,32
sj,2008,44,15
sj,2008,45,32
sj,2008,46,34
sj,2008,47,22
sj,2008,48,17
sj,2008,49,14
sj,2008,50,20
sj,2008,51,15
sj,2008,52,14
sj,2009,1,16
sj,2009,2,14
sj,2009,3,17
sj,2009,4,14
sj,2009,5,16
sj,2009,6,14
sj,2009,7,15
sj,2009,8,14
sj,2009,9,17
sj,2009,10,14
sj,2009,11,14
sj,2009,12,14
sj,2009,13,14
sj,2009,14,15
sj,2009,15,14
sj,2009,16,14
sj,2009,17,14
sj,2009,18,14
sj,2009,19,14
sj,2009,20,18
sj,2009,21,14
sj,2009,22,14
sj,2009,23,20
sj,2009,24,14
sj,2009,25,14
sj,2009,26,14
sj,2009,27,21
sj,2009,28,39
sj,2009,29,15
sj,2009,30,14
sj,2009,31,14
sj,2009,32,14
sj,2009,33,22
sj,2009,34,16
sj,2009,35,80
sj,2009,36,134
sj,2009,37,18
sj,2009,38,201
sj,2009,39,37
sj,2009,40,17
sj,2009,41,72
sj,2009,42,14
sj,2009,43,14
sj,2009,44,14
sj,2009,45,14
sj,2009,46,14
sj,2009,47,14
sj,2009,48,14
sj,2009,49,16
sj,2009,50,17
sj,2009,51,24
sj,2009,52,14
sj,2010,53,14
sj,2010,1,18
sj,2010,2,17
sj,2010,3,34
sj,2010,4,14
sj,2010,5,25
sj,2010,6,14
sj,2010,7,62
sj,2010,8,16
sj,2010,9,14
sj,2010,10,24
sj,2010,11,15
sj,2010,12,19
sj,2010,13,14
sj,2010,14,14
sj,2010,15,14
sj,2010,16,16
sj,2010,17,18
sj,2010,18,14
sj,2010,19,17
sj,2010,20,14
sj,2010,21,14
sj,2010,22,27
sj,2010,23,14
sj,2010,24,26
sj,2010,25,14
sj,2010,26,38
sj,2010,27,20
sj,2010,28,14
sj,2010,29,16
sj,2010,30,16
sj,2010,31,18
sj,2010,32,25
sj,2010,33,14
sj,2010,34,32
sj,2010,35,53
sj,2010,36,14
sj,2010,37,19
sj,2010,38,18
sj,2010,39,15
sj,2010,40,38
sj,2010,41,14
sj,2010,42,18
sj,2010,43,14
sj,2010,44,16
sj,2010,45,18
sj,2010,46,14
sj,2010,47,14
sj,2010,48,15
sj,2010,49,14
sj,2010,50,14
sj,2010,51,14
sj,2011,52,15
sj,2011,1,20
sj,2011,2,31
sj,2011,3,16
sj,2011,4,15
sj,2011,5,14
sj,2011,6,14
sj,2011,7,24
sj,2011,8,23
sj,2011,9,14
sj,2011,10,17
sj,2011,11,14
sj,2011,12,14
sj,2011,13,22
sj,2011,14,18
sj,2011,15,14
sj,2011,16,15
sj,2011,17,14
sj,2011,18,15
sj,2011,19,14
sj,2011,20,18
sj,2011,21,35
sj,2011,22,14
sj,2011,23,17
sj,2011,24,40
sj,2011,25,14
sj,2011,26,19
sj,2011,27,20
